name,category,cell_id,position_x,position_y,position_z
"Aerlinthe Lower Reservoir",dungeon,0x02ED01B5,70,-30,-72
"Aerlinthe Reservoir",dungeon,0x02EE03D2,80,-110,6
"Al-Arqas Meeting Hall",dungeon,0x011D0126,30,-60,6
"Al-Jalima Meeting Hall",dungeon,0x011E0126,30,-60,6
"Alfreth Dungeon",dungeon,0x01D601B9,135.8,-1.22,0
"Allain Court",housing,0x81000161,83.74,-93.75,0
"Alphus Court",housing,0x7A000161,83.74,-93.75,0
"Altar Nest (140+)",dungeon,0x00850151,50,-80,18
"Alvan Court",housing,0x536001D7,83.74,-93.75,0
"Amiantos Bethel",dungeon,0x01130211,30,-20,6
"Amperehelion Vault",dungeon,0x01190371,60,-110,42
"An Archive (115+)",dungeon,0x564601DC,29.8764,-251.507,0.005
"An Olthoi Soldier Nest (30+)",dungeon,0x02820234,120,-10,0
"Ancient Caves",dungeon,0x00D10E92,160,-150,-2.91085
"Ancient Cloister",dungeon,0x00EB014E,100.057,-192.475,-29.995
"Ancient Empyrean Grotto (40+)",dungeon,0x027C01B0,40,0,0.1
"Ancient Lighthouse",dungeon,0x01A902D5,60,-20,0
"Ancient Masonry (100+)",dungeon,0x008B0155,50,-230,0.005
"Ancient Temple",dungeon,0x594D03E2,60,-50,0.005
"Antechamber",dungeon,0x594F02C2,140,-156.951,0.005
"Apostate Citadel Barracks",dungeon,0x284201E0,80,-480,6.005
"Apostate Citadel Headquarters",dungeon,0x284201C9,70,-190,6.005
"Apostate Citadel Mines (150+)",dungeon,0x28420163,210,-710,0.005
"Apostate Excavation",dungeon,0x39600107,118,-5,-15.595
"Arcanum Furniture Shop",dungeon,0x039C01F4,16,-9,0
"Arcanum Research Facility (20+)",dungeon,0x545B0121,50,-50,0
"Arcanum Storehouse Middle Level",dungeon,0x545C0619,40,-291.682,-11.995
"Arcanum Storehouse Upper Level",dungeon,0x545C0681,220,-310,0.005
"Archive",dungeon,0x193604BC,146.681,-8.62729,-4.8255
"Arena",dungeon,0x02E201A3,130,-50,12
"Arena of the Tusker Hero",dungeon,0x5E430105,20,-30,0.005
"Armory",dungeon,0x00EA0303,90,-90,-41.46
"Arrival Chamber",dungeon,0x3FB10110,514,-309,-51.595
"Artifex Collegium",dungeon,0x00ED0350,180,-330,0.005
"Artifex Vault",dungeon,0x01370341,188.4,-10,0
"Arwic Meeting Hall",dungeon,0x011F0126,30,-60,6
"Arwic Mines",dungeon,0x01EF03DD,67.5,-69.8,0
"Asheron's Sanctum",dungeon,0x5E470104,11.8286,-9.20461,0.005
"Asheron's Tower",dungeon,0xD599014C,152.5,183.46,374
"Assassins' Hideout",dungeon,0x00820185,20,-327,0.005
"Assessment Chamber",dungeon,0x59530182,310,-120,0.05
"Asuger Temple (20+)",dungeon,0x010B0101,0,0,0
"Atlan's Laboratory",dungeon,0x006E054C,56.6898,-150.213,0.005
"Atrium Residential Halls",housing,0x56610140,40,-70,0
"Augmentation Realm Lower Level",dungeon,0x007D0268,152.833,-103.059,6.005
"Augmentation Realm Main Level",dungeon,0x0056036D,30,-442.144,0.005
"Augmentation Realm Upper Level (125+)",dungeon,0x006D0413,30,-300,0.005
"Aun Papileona's Shrine to Raeta",dungeon,0x028701F3,60.1,-4.5,0
"Autumn Moon Gardens",housing,0x83000161,83.74,-93.75,0
"Azaxis",dungeon,0x00B60126,220,-42.969,-11.993
"Back Tunnels",dungeon,0x005502B8,430.024,-280.138,0.005
"Bah'Ktar's Tower (180+)",dungeon,0x59520258,210,-370,0.05
"Baishi Meeting Hall",dungeon,0x01200126,30,-60,6
"Balmy Font",dungeon,0x01D103D3,50,-50,0
"Banderling Conquest Dungeon",dungeon,0x02C80258,330,-10,0
"Banderling Hovel (10+)",dungeon,0x017A0137,29.6039,-10.1276,0
"Banderling Ruin",dungeon,0x01E00121,13.0085,-27.0157,6.005
"Bandit Castle Prison",dungeon,0x01E20231,71.894,-20,24.005
"Banished Assembly",dungeon,0x001501CA,12.2668,-59.989,12.005
"Barracks Conveyance",dungeon,0x6343028E,100,-90,0.005
"Basement",dungeon,0x61430112,10.759,-0.022,0.005
"Behind the Waterfall (80+)",dungeon,0x604401E4,10,-90,0.005
"Bellig Tower Base",dungeon,0x01D40115,40,-30,0
"Ben Ten Lodge",housing,0x8A000161,83.74,-93.75,0
"Binding Realm",dungeon,0x007F01B5,250,-20,-22
"Black Dominion (25+)",dungeon,0x010A0223,0,-70,0
"Black Ferah's Vault (151+)",dungeon,0x0073045C,81.3146,-77.9484,0.005
"Black Spawn Den (20+, Ayan Baqur)",dungeon,0x01040375,100,-210,0
"Black Spawn Den (20+, Fort Tethana)",dungeon,0x01050375,100,-210,0
"Black Spawn Den (20+, Wai Jhou)",dungeon,0x01030375,100,-210,0
"Black Spear Summoning Chamber",dungeon,0x00840241,100,-150,0.005
"Black Spear Temple (1-100)",dungeon,0x00740528,91.533,-58.586,0.005
"Black Spear Temple Upper Levels",dungeon,0x007E0353,10,-560,0.005
"Blessed Cave",dungeon,0xF81E04C8,88.87,107.3,-7.585
"Blighted Desolation Moarsman Tunnels (75+)",dungeon,0x00C4037C,30,-110,0.005
"Blighted Disgusting Moarsman Tunnels (35+)",dungeon,0x00C2037C,30,-110,0
"Blighted Grimy Moarsman Tunnels (95+)",dungeon,0x00C5037C,30,-110,0.005
"Blighted Putrid Moarsman Tunnels (55+)",dungeon,0x00C3037C,30,-110,0.005
"Blighted Rank Moarsman Tunnels (15+)",dungeon,0x00C1037C,30,-110,0.005
"Blighted Verdant Moarsman Tunnels (125+)",dungeon,0x00C6037C,30,-110,0
"Blightfinger's Warrens",dungeon,0x00D90289,30,-217,0.005
"Bone Lair",dungeon,0x01450168,90,-30,0
"Braid Mansion Ruin",dungeon,0x01B70100,-0.6,-12.77,0
"Breached Hive (50+)",dungeon,0x003E02F7,18.8143,-12.6949,0.005
"Bur Catacombs",dungeon,0x00D40535,120,-210,-11.985
"Burial Temple (150+)",dungeon,0x013E03FF,30.39,-146.44,0
"Burun Burrow",dungeon,0x624702B3,90,-96.5802,0.005
"Burun Cathedral",dungeon,0x02F803FA,110,-320,0
"Burun Hold",dungeon,0x017D016D,50,-210,0.005
"Caerna Dwellings",housing,0x536101D9,83.74,-93.75,0
"Caliginous Bethel",dungeon,0x63480313,100,-200,0.3
"Camp Entemarre (80+)",dungeon,0x004901B0,50,-10,0.004999
"Candeth Court",housing,0x91000161,83.74,-93.75,0
"Cannibal Caverns",dungeon,0x002202F2,230,-10,-5.995
"Carved Cave",dungeon,0x018F025C,70.548,-77.66,0
"Castle Pietrus",dungeon,0x4198012E,165.336,81.863,135.205
"Catacombs (0x5754012D)",dungeon,0x5754012D,0,-30,0.00499
"Catacombs (0x5754014B)",dungeon,0x5754014B,0,-130,0.00499
"Catacombs (0x575401D0)",dungeon,0x575401D0,30,-80,0.00499
"Catacombs (0x57540261)",dungeon,0x57540261,80,-130,0.00499
"Catacombs (0x57540264)",dungeon,0x57540264,99.9512,-2.4599,0.006
"Catacombs (0x57540278)",dungeon,0x57540278,99.9854,-60.0533,0.006
"Catacombs of Ithaenc",dungeon,0x02B702F1,70,-60,0
"Catacombs of Opposition",dungeon,0x5E4604DD,210,-100,0.005
"Catacombs of the Forgotten (15+)",dungeon,0x02E602AF,70,-110,0
"Caul Asylum (90+)",dungeon,0x6045026F,60,-100,0.005
"Caul Athenaeum",dungeon,0x60460103,50,-40,0.005
"Caul Sanatorium (0x6047)",dungeon,0x604703D0,72.7422,-51.8616,6.005
"Caul Sanatorium (0x6048)",dungeon,0x60480225,100,-110,0.005
"Caulnalain Vestibule (40+)",dungeon,0x02DC035D,280,-140,0
"Cave (0x00EE)",dungeon,0x00EE03B4,160.222,-294.414,0.005
"Cave (Ayan Baqur)",dungeon,0x01BD0107,20.48,-79.33,0
"Cave (Eastham)",dungeon,0x01F1010A,20,-40,0
"Cave of Alabree",dungeon,0x016201D1,60,-10,12
"Cavernous Olthoi Chasm",dungeon,0x5D4D0360,40,-106,-12
"Cavernous Refuge (150+)",dungeon,0x576D0154,20,-20,13.3262
"Cedraic Court",housing,0x89000161,83.74,-93.75,0
"Celcynd Grotto",housing,0x86000161,83.74,-93.75,0
"Celdiseth Court",housing,0x92000161,83.74,-93.75,0
"Celestial Hand Gauntlet (180+)",dungeon,0x596B0118,130,-160,0.005
"Cells of the Black Book",dungeon,0x008902DC,0,-200,-0.087583
"Chakron Gate (36+)",dungeon,0x02AE0100,59.2,-181.5,-12
"Chamber of Air",dungeon,0x00C9010C,10,-70,-5.995
"Chamber of Earth",dungeon,0x00C9014E,140,-70,-5.995
"Chamber of Scrolls (100+)",dungeon,0x00C901A1,80,-360,0.005
"Chamber of the High Priest's First",dungeon,0x00DD0108,10.009,-169.962,0.005
"Chamber of the High Priest's Second",dungeon,0x00DD0106,9.40494,-120.053,0.005
"Chamber of the High Priest's Third",dungeon,0x00DD0104,10.0574,-70.0025,0.005
"Chamber of Water",dungeon,0x00C90174,270,-70,-5.995
"Chapel of Mowen (50+)",dungeon,0x594A0148,60,-181.555,0.005
"Charged Niche (180+)",dungeon,0x595E020F,120,-130,0.005
"Charged Refuge (150+)",dungeon,0x576A01B4,39.9071,-269.055,0.015
"Chiming (180+)",dungeon,0x5868016E,130,-80,14.711
"Citadel Library",dungeon,0x56530113,31.097,-10.963,0.005
"Colier Mine",dungeon,0x01AE020A,113.633,-29.448,-11.995
"Collegium Occultus",dungeon,0x00440201,70,-157,0.005
"Collegium Occultus Anteroom",dungeon,0x004401FA,70,-7,0.005
"Collegium Planar Abstraction Conveyance",dungeon,0x00D60210,60,-336.598,6.005
"Colossus Foundry",dungeon,0x545701C5,160,-90,0
"Colton Reeyan's Sanctuary (150+)",dungeon,0x58600196,120,-155.8,0.01
"Commander's Quarters",dungeon,0x01E40157,61,-20,-17.995
"Convergent Median (40+)",dungeon,0x536B0206,56.956,-53.304,0
"Copper Legion Keep (50+)",dungeon,0x001801C7,90,-8,0.005
"Coral Caves",dungeon,0x003303D2,97.637,-197.395,0.005
"Coral Tunnels",dungeon,0x02EC02BD,50,-27.765,6.005
"Corrupted Catacombs (180+)",dungeon,0x00BA0348,121.007,-99.094,0.005
"Count Phainor's Tomb",dungeon,0x58620396,240,-390,0.005
"Cragstone Meeting Hall",dungeon,0x01210126,30,-60,6
"Crater Caves Dungeon",dungeon,0x019A02CA,40,-150,0
"Crater Lair (15+)",dungeon,0x018C0191,40,-20,0.005
"Crater Pathway",dungeon,0x01A701AA,32.4,-8.01,138
"Creepy Canyons (100+)",dungeon,0x00310338,150.537,-200.946,-17.995
"Creepy Chambers",dungeon,0x004A01F3,40.123,-51.475,6.005
"Crescent Moon Veranda",housing,0x8C000161,83.74,-93.75,0
"Crumbling Empyrean Mansion",dungeon,0x66790275,13.6,-70,0
"Crypt of Ashen Tears",dungeon,0x01FA034C,80,-59,6
"Crypt of Crimson Night",dungeon,0x009B021C,40,-570,0.005
"Crystal Core (50+)",dungeon,0x58610166,70,-220,0.005
"Crystal Mine",dungeon,0x614902DE,30,-16.951,0.005
"Crystal Mine Extreme (80+)",dungeon,0x564B0233,9.18582,-152.244,0.005
"Crystal Mine High (60-79)",dungeon,0x564C0233,9.18582,-152.244,0.005
"Crystal Mine Low (20-39)",dungeon,0x564E0233,9.18582,-152.244,0.005
"Crystal Mine Mid (40-59)",dungeon,0x564D0233,9.18582,-152.244,0.005
"Crystal Mine New Isparians (1-19)",dungeon,0x564F0233,9.18582,-152.244,0.005
"Curator of Torment's Study (180+)",dungeon,0x587002FA,220,-100,0.055
"Cursed Swamp",dungeon,0x0108020C,50,-50,0
"Daiklos Dungeon",dungeon,0x0185020F,80,-90,0
"Damp Caverns (5+)",dungeon,0x014D0191,70,-60,0
"Dardante's Keep",dungeon,0x004805D4,198.943,-80.007,24.005
"Dardante's Workshop",dungeon,0x007F02EB,10,-833,0.005
"Dark Design (140+)",dungeon,0x002D0373,200.142,-4.32755,0.005
"Dark Mosswart Halls",dungeon,0x017801F5,80,-110,0.005
"Dark Tree Crystal Mine (100+)",dungeon,0x56490196,100,-90,0.005
"Darkened Halls",dungeon,0x014401B4,30,-50,12
"Decrepit Tower",dungeon,0x644A03AB,140,-50,0
"Deep Caves",dungeon,0x594E0686,130,-246,0.01
"Deep Guruk Caverns",dungeon,0x007A055C,30,-100,0.005
"Deep Mukkir Nest (150+)",dungeon,0x005405C3,59.9318,-413.711,0.005
"Deep Olthoi Chasm",dungeon,0x5D4C0251,-0.07,-74.2,0.005
"Deeper Catacombs (0x574D)",dungeon,0x574D0160,140,-20,0.005
"Deeper Catacombs (0x574E)",dungeon,0x574E0285,155.786,-30.0984,0.005
"Deeper Catacombs (0x574F)",dungeon,0x574F0290,240.119,-25.5348,0.005
"Deeper Catacombs (0x5750)",dungeon,0x5750028A,199.44,-40.5438,0.005
"Deeper Catacombs (0x5751)",dungeon,0x57510251,3.87091,-90.3084,0.005
"Deeper Catacombs (0x5752)",dungeon,0x57520260,9.80751,-126.222,0.005
"Deeper Catacombs (0x5753)",dungeon,0x57530253,10.1896,-92.1511,0.005
"Deeper Caves",dungeon,0x00D109C7,160,-150,-14.982
"Deepest Caves",dungeon,0x00D102B7,160,-150,-26.982
"Defiled Temple Asylum",dungeon,0x000A0164,20,-110,0.005
"Defiled Temple Lower Wing",dungeon,0x00080164,20,-110,0.005
"Defiled Temple Middle Wing",dungeon,0x01EC0164,20,-110,0.005
"Defiled Temple Upper Wing",dungeon,0x00090164,20,-110,0.005
"Demon Swarm Matron",dungeon,0x00B60129,220,-193,-11.995
"Dericost Ruin",dungeon,0x015F0223,90,-90,0.005
"Dericost Vault",dungeon,0x0071045A,80,-230,0.005
"Desert Citadel",dungeon,0x61480152,140,-130,0
"Desert Dwelling (180+)",dungeon,0x58630252,181.62,-80.047,21.511
"Desert March",dungeon,0x02AA022F,50,-500,30
"Desert Mine",dungeon,0x0182017B,40,-30,0
"Desert Ruin",dungeon,0x016701A7,110,-40,6
"Deserted Ruin",dungeon,0x0166015A,10,-30,18
"Device Room",dungeon,0x00C0019C,80,-90,0.005
"Disaster Maze (20+)",dungeon,0x01A60214,90,-30,0
"Dragon's Power (35+)",dungeon,0x644901A3,416.14,-70.4372,-5.995
"Drudge Hideout",dungeon,0x019E0114,10,-40,0
"Drudge Hovel",dungeon,0x01180237,102.031,-290.037,6.005
"Dry Well",dungeon,0x015A01AE,10,-90,0
"Dulok Court",housing,0x8B000161,83.74,-93.75,0
"Dungeon Binar",dungeon,0x018301AF,60,-50,0
"Dungeon Fern",dungeon,0x01B30116,39.7,-0.2,0
"Dungeon Gallery Tower",dungeon,0x01AD0116,29.94,-32.6,0
"Dungeon Maggreth",dungeon,0x014F01B9,30,-60,-12
"Dungeon Manor",dungeon,0x01E801BA,-0.6,-38.5,0
"Dungeon Mei",dungeon,0x0184014B,60,-80,0
"Dungeon Muddy (5+)",dungeon,0x01B60100,0.24,-0.7,0
"Dungeon Nye",dungeon,0x01810161,101.35,-146,0
"Dungeon of Corpses",dungeon,0x01090160,30,-20,0
"Dungeon of Shadows",dungeon,0x01ED0310,120,0,12
"Dungeon of Tatters",dungeon,0x01BA0186,64.95,-50.27,0
"Eagle's Sight",dungeon,0x5F45011E,69.9038,-32.7901,0.005
"East Fork Dam Hive",dungeon,0x027F0234,30,-60,6
"Eastern Aerlinthe Island",dungeon,0xBAE80106,15.8,107.8,-1.8
"Eastern Catacombs",dungeon,0x00D30535,120,-210,-11.995
"Eastern Temple Catacombs (100+)",dungeon,0x004D06E5,90.0044,-247.809,0.05
"Eastham Meeting Hall",dungeon,0x01220126,30,-60,6
"Eastham Sewer (50+)",dungeon,0x01CF0237,119.625,-163.107,6.005
"Eater Pit",dungeon,0x001F0286,121,-250,0.005
"Effigy Foundry",dungeon,0x545901B0,10,-80,6.005
"Egg Orchard (140+)",dungeon,0x002B0371,458.535,-172.203,0.005
"Egg Orchard East (140+)",dungeon,0x00640371,458.535,-172.203,0.005
"Egg Orchard West (140+)",dungeon,0x00C80371,458.535,-172.203,0.005
"Eldrytch Web Gauntlet (180+)",dungeon,0x596B0110,120,-80,0.005
"Electric Destruction",dungeon,0x5A450109,20,-10,0
"Elemental Caverns",dungeon,0x5F470412,170,-139.985,0.07557
"Empyrean Acid Propylaeum (50+)",dungeon,0x526E014B,30,0,0
"Empyrean Cloister (15+)",dungeon,0x02AD0108,78.2,-100.4,-48
"Empyrean Facility Upper Level (75+)",dungeon,0x890402C4,50,0,23.5124
"Empyrean Fire Propylaeum (25+)",dungeon,0x5270014B,30,0,0
"Empyrean Foundry (100+)",dungeon,0x013602B6,40,-130,0
"Empyrean Garrison",dungeon,0x01610264,80,-80,0
"Empyrean Ice Propylaeum (25+)",dungeon,0x5272014B,30,0,0
"Empyrean Lightning Propylaeum (50+)",dungeon,0x5274014B,30,0,0
"Empyrean Workshop (125+)",dungeon,0x006E055E,104.056,-44.0326,0.005
"End of the Story",dungeon,0xCD410105,155.746,112.803,59.605
"Endara Gate",housing,0x85000161,83.74,-93.75,0
"Enkindled Souls",dungeon,0x014101A6,70,-170,0
"Enlightened Master's Chambers (0x0057)",dungeon,0x005701EC,590,-200,0.005
"Enlightened Master's Chambers (0x007B)",dungeon,0x007B01EC,590,-200,0.005
"Entropic Decay",dungeon,0x59450147,79.75,-99,0.005
"Escape Route",dungeon,0x0B700118,74.023,100.849,90.089
"Essence Chambers",dungeon,0x008C0121,70,-42,-5.995
"Facility Hub",dungeon,0x8A020212,58.6391,-89.9231,6.005
"Falatacot Depot (150+)",dungeon,0x585E0101,0,-40,0.005
"Falatacot Temple (200+)",dungeon,0x665E021E,30,-130.78,0.019191
"Falatacot Vault",dungeon,0x007201E4,30,-130,-5.995
"Falcon Clan Training Camp",dungeon,0x5777040D,241.9,0.190061,0.005
"Fathomless Chasm (20+)",dungeon,0x545E01DD,20,-80,0
"Fathomless Chasm Abyss",dungeon,0x54600349,250,-100,42
"Fathomless Chasm Clough",dungeon,0x545F0288,40,-60,24.288
"Fathomless Chasm Descent",dungeon,0x54600347,50,-200,36.2778
"Fathomless Chasm Devex",dungeon,0x545E0295,250,-39.8261,23.9461
"Fathomless Chasm Plummet",dungeon,0x545F028B,150,-60,36.396
"Fear Factory (180+)",dungeon,0x587701F7,176.062,-114.658,0.055
"Feeding Tubes (130+)",dungeon,0x002E02D1,110.562,-336.795,0.005
"Fenmalain Vestibule (20+)",dungeon,0x02DB0306,150,-16,12
"Festivus Court",housing,0x93000161,83.74,-93.75,0
"Fiery Alcove (180+)",dungeon,0x586502CF,40,-140,0.005
"Fiery Consumption",dungeon,0x58450147,79.75,-99,0.005
"Filos' Doom",dungeon,0x0150018A,30,0,0
"Fire Guardian Lair (40-59)",dungeon,0x5843014A,47.9531,-2.5,6.005
"Fire Ziggurat (60-79)",dungeon,0x59460104,20,-20,0.005
"Firebird's Splendor (35+)",dungeon,0x644902D1,290.074,-44.179,0.005
"Firey Refuge (150+)",dungeon,0x576901A9,60,-30,0.01
"Floating Spire",dungeon,0x287A0100,180,152,500
"Folthid Cellar",dungeon,0x013B0333,60,-80,0
"Font of the Eternal Harvester",dungeon,0x00380285,20,-40,0.005
"Forbidden Crypts",dungeon,0x013D02D5,60,-10,-18
"Forge Conveyance",dungeon,0x644501A1,50,-10,0.005
"Forgotten Chasm (130+)",dungeon,0x002C029C,204.144,-134.762,0.005
"Forgotten Temple",dungeon,0x015101FE,70,-60,30
"Forgotten Tunnels",dungeon,0x8B020292,260,-20,18.005
"Forking Trail",dungeon,0x01AB0137,37.63,-29.99,0
"Forsaken",dungeon,0xF4260102,111.5,91.6,-4.8
"Forsythian Gardens",housing,0x7E000161,83.74,-93.75,0
"Fortified Royal Vault",dungeon,0x001402D6,0,-10,0.005
"Fortified Vault Sewers",dungeon,0x000F02EE,110,0,0.005
"Foundry of Izexi (200+)",dungeon,0x585604EA,53.3024,-316.298,2.06621
"Freebooter Keep",dungeon,0xF92F0293,63.7124,66.072,124.805
"Frigid Grotto (150+)",dungeon,0x584D035A,140,-120,6.005
"Frost Guardian Lair (20-39)",dungeon,0x5743014A,47.9531,-2.5,6.005
"Frost Ziggurat (80-149)",dungeon,0x5A460104,20,-20,0.005
"Frozen Cenotaph",dungeon,0x003701CC,40,-10,0.005
"Frozen Library",dungeon,0x02FE044E,89.8631,-299.018,0.005
"Frozen Recess (180+)",dungeon,0x595E02B4,400,-100,0.005
"Frozen Refuge (150+)",dungeon,0x5770015B,20.7438,-49.8883,0.01
"Frozen Tomb",dungeon,0x77E702E4,25.1647,31.3589,124.805
"Frozen Wight Lair",dungeon,0x8B040173,3.3374,-59.9919,-47.995
"Gajin Dwellings",housing,0x76000161,83.74,-93.75,0
"Gardens of Menilesh (150+)",dungeon,0x00E70283,80,-60,48.005
"Gelidite Library",dungeon,0x546401AE,60,-70,0.005
"Geraine's Study",dungeon,0x93020171,100,-150,0.005
"Gerent's Compound (40+)",dungeon,0x594C0143,50,-10,5.995
"Glenden Wood Dungeon",dungeon,0x01E3033D,161,-150,0
"Glenden Wood Meeting Hall",dungeon,0x01230126,30,-60,6
"Gold Legion Keep (80+)",dungeon,0x00190105,90,-23,0.005
"Golem Burial Ground (10+)",dungeon,0x01B40130,87.0588,-6.76988,0.005
"Golem Sanctum",dungeon,0x02E10290,310,-260,-12
"Grael's Chamber (0x0074)",dungeon,0x00740586,279.799,-212.783,18.005
"Grael's Chamber (0x0076)",dungeon,0x007604D0,279.799,-212.783,18.005
"Grael's Chamber (Fort Tethana)",dungeon,0x007504C6,279.799,-212.783,18.005
"Graveyard",dungeon,0x482E0140,22.1693,83.0472,3.66
"Graveyard Tomb",dungeon,0x482E0101,67.5,61.5,-0.39
"Great Hall",dungeon,0x665E01D0,259.73,-209.475,-5.915
"Greater K'nath Lair",dungeon,0x01930187,320,-10,0.005
"Gredaline Consulate (25+)",dungeon,0x029B0318,280,-300,6
"Green Mire Grave",dungeon,0x01E5020E,80.915,-69.263,0
"Grievous Vault (10+)",dungeon,0x01890321,139.792,-66.582,6.005
"Grievver Caves",dungeon,0x545602A0,110,-20,0
"Gromnie Clan Training Camp",dungeon,0x56430381,30.2209,-71.2641,6.005
"Grub Quarters",dungeon,0x586A011D,60,-190,0.055
"Hagra's Holdfast",dungeon,0x003901E0,110,-30,0.005
"Hall of Karlun (40+)",dungeon,0x0021013E,19.9532,-138.778,0.005
"Halls",dungeon,0x017F010F,10,-300,0.005
"Halls of Metos (15+, Ayan Baqur)",dungeon,0x02F40297,100,-330,0
"Halls of Metos (15+, Tufa)",dungeon,0x02F30297,100,-330,0
"Halls of Metos (15+, Wai Jhou)",dungeon,0x02F50297,100,-330,0
"Halls of the Helm (10+)",dungeon,0x01CC01E5,70.5,-71,12
"Halls of the Lost Light",dungeon,0x01CE01C9,49.54,-6.8,0
"Harraag's Lair",dungeon,0x006004BF,120,-20,0
"Hasina Gardens",housing,0x7B000161,83.74,-93.75,0
"Haven Residential Halls",housing,0x56560140,40,-70,0
"Heart of Madness",dungeon,0x002002D2,60,-30,0.005
"Heartland Yard",housing,0x78000161,83.74,-93.75,0
"Hebian-to Meeting Hall",dungeon,0x01240126,30,-60,6
"Hebian-to Sewers (4+)",dungeon,0x01CA027F,40,-177.4,0
"Hibiscus Gardens",housing,0x94000161,83.74,-93.75,0
"Hidden Cavern (80+)",dungeon,0x5F4802CC,230,-71.25,0.005
"Hidden City (50+)",dungeon,0x02D602CE,0.34,-79.85,0.005
"Hidden Dungeon",dungeon,0x536A0282,0,-120,0.005
"Hidden Laboratory (150+)",dungeon,0x00A402A1,70,-70,0.005
"Hieromancers' Halls",dungeon,0x02A90148,80,-240,-42
"Hills Citadel",dungeon,0x02F00152,140,-130,0
"Hive Eviscerator Burrow (200+)",dungeon,0x586D03E2,90,-200,0.05
"Hive Warrior Mound (200+)",dungeon,0x586E041E,69.86,-45.17,0.005
"Hollow Lair near Lytelthorpe (20+)",dungeon,0x039C0202,90.2,-51,0
"Holtburg Dungeon",dungeon,0x01F60289,96.7,-10,0
"Holtburg Meeting Hall",dungeon,0x01250126,30,-60,6
"Holtburg Redoubt (1-20)",dungeon,0x016301AC,140,-40,0
"Hoshino Tower (200+)",dungeon,0x66510103,21.3412,-21.5515,0.01
"Humid Font",dungeon,0x017603D3,50,-50,0
"Humid Guruk Caverns",dungeon,0x0078055C,30,-100,0.005
"Humid Hovel",dungeon,0x02E4017E,133.337,-1.86382,0
"Hunter's Leap",dungeon,0x01C60181,18.566,0.78,0
"Icy Demise",dungeon,0x57450109,20,-10,0.005
"Icy Hideout",dungeon,0x0033040F,739.915,-233.14,0.005
"Idol of Wishes",dungeon,0x5F44014C,30,-40,0.005
"Idol Spawning Grounds",dungeon,0x02B6029E,100,-50,0
"Ikzisik Tika Ri Zikma (90+)",dungeon,0x00870353,120,-210,0.005
"Illsin Veranda",housing,0x536201D9,83.74,-93.75,0
"Impious Temple",dungeon,0x015E0165,80,-170,0
"Inculcation Cells (40+)",dungeon,0x0295026D,160,-270,6
"Incunabula Vault",dungeon,0x011A03F9,50,-349,0
"Inner Dungeon",dungeon,0x01A5019D,20,0,6
"Inner Sanctum (0x5954)",dungeon,0x59540144,30,-130,-41.995
"Inner Sanctum (0x5D47)",dungeon,0x5D470183,60.6383,-20.4236,18.005
"Inner Sanctum (0x5D48)",dungeon,0x5D480183,60.8034,-20.1706,18.005
"Inner Stronghold",dungeon,0x1A8E0262,-75.515,275.027,148.405
